dialogue_id,condition,pairing,model_a,model_b,topic,repetition,timestamp,num_turns,episode_number,coupling_lag0,coupling_lag0_p_perm,coupling_lag1_a_to_b,coupling_lag1_b_to_a,bidirectional_index,gamma3_slope_a,gamma3_slope_b,asymmetry_index,transfer_proxy_a_to_b,transfer_proxy_b_to_a,position_convergence,mean_hedge_density_a,mean_hedge_density_b,mean_sycophancy_a,mean_sycophancy_b,sync_initial,sync_final,gamma_norm_a_initial,gamma_norm_a_final,gamma_norm_b_initial,gamma_norm_b_final
A_gemini_gemini_T4_rep01,A,gemini_gemini,gemini,gemini,T4,1,2026-02-12T15:27:07.693261,8,1,-0.1198,0.623,-0.4076,0.9323,-0.4372,0.02381,0.021429,1.5563,0.3333,1.0,0.5,0.0501,0.0312,0.0,0.0,0.9,1.0,1.125,1.037,1.225,1.037
A_gemini_gemini_T4_rep02,A,gemini_gemini,gemini,gemini,T4,2,2026-02-12T13:17:26.032712,8,1,-0.0148,0.522,0.1692,-0.0002,-0.0012,0.003571,0.022619,4.1824,0.0,0.6667,0.0,0.0625,0.0,0.0,0.0,0.954,0.601,1.179,0.742,1.225,1.141
A_gemini_gemini_T4_rep03,A,gemini_gemini,gemini,gemini,T4,3,2026-02-12T13:31:42.451384,8,1,0.3106,0.244,0.2065,-0.4771,-2.3104,0.02619,0.019048,1.1482,0.5,0.3333,0.25,0.0875,0.0,0.0,0.0,0.837,1.0,1.016,1.141,1.179,1.141
A_gemini_gemini_T4_rep04,A,gemini_gemini,gemini,gemini,T4,4,2026-02-12T15:28:54.252371,8,1,-0.3008,0.746,0.3943,0.1397,0.3543,0.009524,0.02381,4.0826,0.1667,0.8333,0.75,0.0545,0.0,0.0,0.0,0.837,0.821,1.016,0.962,1.179,1.141
A_gemini_gemini_T4_rep05,A,gemini_gemini,gemini,gemini,T4,5,2026-02-12T13:36:51.294299,8,1,0.5457,0.081,-0.2022,-0.5441,2.6909,0.022619,0.017857,0.3796,0.5,0.1667,1.0,0.0,0.0312,0.0,0.0,0.954,0.942,1.179,1.141,1.225,1.083
A_gemini_gpt4o_T4_rep01,A,gemini_gpt4o,gemini,gpt4o,T4,1,2026-02-12T13:00:30.751759,8,1,-0.3653,0.813,-0.3237,-0.0843,3.8399,0.020238,0.007143,0.6405,0.3333,0.5,1.0,0.0,0.2395,0.0,0.0,0.745,0.756,1.179,1.141,0.924,0.897
A_gemini_gpt4o_T4_rep02,A,gemini_gpt4o,gemini,gpt4o,T4,2,2026-02-12T12:30:45.352830,8,1,-0.4067,0.811,-0.0383,0.3089,-0.124,0.005952,0.004762,1.5472,0.5,0.5,1.0,0.1883,0.139,0.0,0.0,0.7,0.864,1.146,0.954,0.846,1.09
A_gemini_gpt4o_T4_rep03,A,gemini_gpt4o,gemini,gpt4o,T4,3,2026-02-12T13:13:23.751367,8,1,-0.1886,0.638,-0.5114,0.1377,-3.7139,-0.002381,0.017857,0.9482,0.3333,0.6667,1.0,0.0156,0.2021,0.0,0.0,0.746,0.91,1.179,0.931,0.925,1.021
A_gemini_gpt4o_T4_rep04,A,gemini_gpt4o,gemini,gpt4o,T4,4,2026-02-12T12:44:04.952118,8,1,0.0886,0.406,-0.2304,-0.1869,1.2327,0.020238,0.0,1.1953,0.6667,0.6667,0.25,0.125,0.2171,0.0,0.0,0.729,0.753,1.125,1.063,0.854,0.816
A_gemini_gpt4o_T4_rep05,A,gemini_gpt4o,gemini,gpt4o,T4,5,2026-02-12T12:40:42.969207,8,1,0.1612,0.37,-0.1837,-0.0039,47.1026,0.003571,-0.028571,4.0742,0.0,1.0,0.75,0.0915,0.2268,0.0,0.0,0.701,0.972,1.179,0.723,0.88,0.695
A_gpt4o_gemini_T4_rep01,A,gpt4o_gemini,gpt4o,gemini,T4,1,2026-02-12T15:30:37.307297,8,1,0.0096,0.478,0.2445,-0.1073,-0.4389,0.014286,0.016667,1.255,0.5,1.0,0.5,0.1807,0.025,0.0,0.0,0.886,0.486,1.065,0.715,1.179,1.229
A_gpt4o_gemini_T4_rep02,A,gpt4o_gemini,gpt4o,gemini,T4,2,2026-02-12T13:05:10.009028,8,1,0.2288,0.312,-0.4485,0.0039,-115.0,0.008333,0.022619,1.4371,0.3333,0.8333,1.0,0.2929,0.0,0.0,0.0,0.81,0.982,1.035,1.013,1.225,1.031
A_gpt4o_gemini_T4_rep03,A,gpt4o_gemini,gpt4o,gemini,T4,3,2026-02-12T13:23:29.058444,8,1,0.7261,0.019,-0.4345,-0.4058,1.0707,0.0,0.017857,1.6159,0.6667,0.1667,0.25,0.2424,0.0,0.0,0.0,0.841,0.922,1.02,0.884,1.179,0.962
A_gpt4o_gemini_T4_rep04,A,gpt4o_gemini,gpt4o,gemini,T4,4,2026-02-12T13:33:25.433463,8,1,-0.3925,0.802,0.7598,-0.1943,-0.2557,0.011905,0.028571,0.8755,0.5,0.6667,0.25,0.1732,0.0,0.0,0.0,0.7,0.874,0.825,1.015,1.125,1.141
A_gpt4o_gemini_T4_rep05,A,gpt4o_gemini,gpt4o,gemini,T4,5,2026-02-12T13:38:35.177257,8,1,-0.2982,0.722,-0.3176,0.6665,-0.4765,0.013095,0.016667,0.4934,0.5,0.3333,0.25,0.1946,0.1474,0.0,0.0,0.65,0.899,0.836,1.04,1.186,1.141
B_claude_gemini_T4_rep01,B,claude_gemini,claude,gemini,T4,1,2026-02-12T22:25:34.319200,8,1,0.0519,0.366,-0.2109,-0.2213,1.0493,0.0,-0.075,0.4394,0.6667,0.5,0.75,0.2802,0.0864,0.0,0.0,0.6,0.739,0.825,0.841,1.225,0.58
B_claude_gemini_T4_rep02,B,claude_gemini,claude,gemini,T4,2,2026-02-12T23:07:27.262030,8,1,0.0188,0.509,-0.7546,0.6756,-1.1169,-0.016667,-0.089881,0.6428,0.1667,0.6667,0.75,0.2475,0.0895,0.0,0.0625,0.654,0.658,0.729,0.702,1.075,0.36
B_claude_gemini_T4_rep03,B,claude_gemini,claude,gemini,T4,3,2026-02-12T22:59:41.064807,8,1,0.6259,0.027,0.2413,0.5472,0.441,0.020238,-0.091667,0.7463,0.6667,0.6667,1.0,0.2815,0.0755,0.0,0.0,0.397,0.878,0.622,1.111,1.225,0.989
B_claude_gemini_T4_rep04,B,claude_gemini,claude,gemini,T4,4,2026-02-12T23:11:52.691729,8,1,-0.1639,0.643,0.3282,0.0996,0.3035,-0.002381,-0.07381,0.5699,0.5,0.5,0.75,0.2404,0.0867,0.0,0.0,0.648,0.899,0.834,0.529,1.186,0.428
B_claude_gemini_T4_rep05,B,claude_gemini,claude,gemini,T4,5,2026-02-12T20:21:35.978564,8,1,0.1645,0.353,-0.2926,0.2418,-1.2101,-0.002381,-0.08631,0.6674,0.5,0.8333,0.5,0.3261,0.0471,0.0,0.0,0.533,0.719,0.758,0.697,1.225,0.416
B_gemini_claude_T4_rep01,B,gemini_claude,gemini,claude,T4,1,2026-02-12T22:42:49.238397,8,1,0.4817,0.118,-0.4593,0.4841,-0.9488,-0.020238,-0.018452,1.5115,0.6667,0.5,1.0,0.0781,0.2032,0.0,0.0,0.62,0.498,1.225,1.181,0.845,0.679
B_gemini_claude_T4_rep02,B,gemini_claude,gemini,claude,T4,2,2026-02-12T17:06:24.471841,8,1,0.0845,0.409,-0.4635,-0.3876,1.1958,0.022619,-0.017262,0.8072,0.5,0.5,1.0,0.0,0.263,0.0,0.0,0.58,0.487,1.179,1.027,0.759,0.514
B_gemini_claude_T4_rep03,B,gemini_claude,gemini,claude,T4,3,2026-02-12T16:22:34.187938,8,1,0.69,0.042,-0.4981,-0.4457,1.1176,0.028571,-0.010714,0.8517,0.6667,0.3333,1.0,0.0,0.3109,0.0,0.25,0.715,0.634,1.125,1.083,0.84,0.717
B_gemini_claude_T4_rep04,B,gemini_claude,gemini,claude,T4,4,2026-02-12T22:09:20.424595,8,1,0.4758,0.121,0.4716,-0.6561,-1.3912,-0.004762,0.030952,1.0876,0.5,0.5,1.0,0.0499,0.2606,0.0,0.125,0.738,0.776,1.016,1.027,0.754,1.251
B_gemini_claude_T4_rep05,B,gemini_claude,gemini,claude,T4,5,2026-02-12T16:05:59.729175,8,1,-0.2837,0.746,0.1876,0.3294,0.5695,-0.021429,-0.032738,2.5164,0.1667,0.8333,1.0,0.0331,0.189,0.0625,0.125,0.602,0.992,1.125,0.757,0.727,0.765
B_gemini_gemini_T4_rep01,B,gemini_gemini,gemini,gemini,T4,1,2026-02-12T23:58:40.429981,8,1,0.7329,0.04,-0.7681,-0.702,1.0942,0.005952,0.008333,0.6674,0.6667,0.3333,1.0,0.2366,0.1032,0.0,0.0,0.954,0.984,1.225,0.548,1.179,0.532
B_gemini_gemini_T4_rep02,B,gemini_gemini,gemini,gemini,T4,2,2026-02-12T15:52:37.606325,8,1,0.3137,0.251,-0.5437,-0.0365,14.8959,0.02381,-0.030357,0.4344,1.0,0.0,1.0,0.375,0.1522,0.0,0.0,0.954,0.64,1.225,1.201,1.179,0.841
B_gemini_gemini_T4_rep03,B,gemini_gemini,gemini,gemini,T4,3,2026-02-12T17:22:48.528644,8,1,-0.4497,0.813,0.6445,-0.2793,-0.4334,0.021429,-0.077976,1.2919,0.6667,0.8333,0.75,0.1039,0.0548,0.0,0.0,0.946,0.936,1.125,0.693,1.179,0.757
B_gemini_gemini_T4_rep04,B,gemini_gemini,gemini,gemini,T4,4,2026-02-12T20:16:35.549068,8,1,0.6914,0.039,-0.3045,-0.3901,1.2811,0.014286,-0.074405,0.6525,0.6667,0.5,0.25,0.0666,0.1772,0.0,0.0,0.993,0.675,1.179,1.027,1.186,0.702
B_gemini_gemini_T4_rep05,B,gemini_gemini,gemini,gemini,T4,5,2026-02-12T21:01:32.954987,8,1,-0.325,0.715,0.6371,0.1262,0.1981,0.020238,0.048214,0.9487,0.6667,0.3333,1.0,0.0651,0.0179,0.0,0.0,1.0,0.865,1.225,1.211,1.225,1.346
B_gemini_gpt4o_T4_rep01,B,gemini_gpt4o,gemini,gpt4o,T4,1,2026-02-12T22:33:19.354528,8,1,0.1647,0.374,-0.0795,0.17,-0.4676,0.004762,-0.061905,2.373,0.1667,0.8333,0.75,0.1079,0.276,0.0,0.0,0.699,0.877,1.125,0.95,0.824,0.827
B_gemini_gpt4o_T4_rep02,B,gemini_gpt4o,gemini,gpt4o,T4,2,2026-02-12T16:08:46.583805,8,1,0.319,0.27,-0.1784,0.3178,-0.5614,0.016667,0.01369,2.0113,0.5,0.5,1.0,0.0417,0.235,0.0,0.0,0.616,0.988,1.225,1.141,0.841,1.129
B_gemini_gpt4o_T4_rep03,B,gemini_gpt4o,gemini,gpt4o,T4,3,2026-02-12T21:45:33.381969,8,1,-0.0129,0.49,-0.4982,0.1236,-4.0307,0.002381,0.0,1.2093,0.8333,0.5,0.75,0.025,0.2903,0.0,0.0,0.568,0.81,1.179,0.723,0.747,0.913
B_gemini_gpt4o_T4_rep04,B,gemini_gpt4o,gemini,gpt4o,T4,4,2026-02-12T17:02:20.708035,8,1,-0.0143,0.475,-0.3367,0.7366,-0.4571,0.022619,0.005952,0.9134,0.6667,0.8333,0.75,0.0625,0.1512,0.0,0.0,0.682,0.844,1.179,1.037,0.861,0.881
B_gemini_gpt4o_T4_rep05,B,gemini_gpt4o,gemini,gpt4o,T4,5,2026-02-12T23:41:09.689252,8,1,0.4242,0.156,-0.128,0.2791,-0.4586,0.017857,-0.020238,0.4453,0.8333,0.3333,0.5,0.0,0.2838,0.0,0.0,0.636,0.464,1.179,1.141,0.815,0.605
B_gpt4o_gemini_T4_rep01,B,gpt4o_gemini,gpt4o,gemini,T4,1,2026-02-12T23:55:13.884294,8,1,-0.4668,0.855,0.3676,0.5357,0.6862,0.007143,-0.071429,0.5753,0.8333,0.5,1.0,0.1862,0.0616,0.0,0.0,0.652,0.754,0.831,1.068,1.179,0.822
B_gpt4o_gemini_T4_rep02,B,gpt4o_gemini,gpt4o,gemini,T4,2,2026-02-12T15:49:08.917589,8,1,-0.4218,0.793,0.9309,0.0504,0.0541,0.008333,-0.044643,0.3591,0.6667,0.5,1.0,0.2125,0.0574,0.0,0.0,0.753,0.99,0.932,0.917,1.179,0.927
B_gpt4o_gemini_T4_rep03,B,gpt4o_gemini,gpt4o,gemini,T4,3,2026-02-12T21:26:00.605972,8,1,-0.3669,0.789,0.6097,-0.3051,-0.5004,0.008333,-0.036905,0.4083,0.6667,0.5,1.0,0.2198,0.0799,0.0,0.0,0.689,0.859,0.868,0.715,1.179,0.856
B_gpt4o_gemini_T4_rep04,B,gpt4o_gemini,gpt4o,gemini,T4,4,2026-02-12T21:34:32.244514,8,1,-0.5747,0.906,-0.4726,0.6541,-0.7225,0.014286,-0.051786,0.4274,0.6667,0.3333,1.0,0.3026,0.219,0.0,0.0,0.238,0.664,0.658,1.101,1.42,0.765
B_gpt4o_gemini_T4_rep05,B,gpt4o_gemini,gpt4o,gemini,T4,5,2026-02-12T22:12:12.273557,8,1,0.385,0.169,-0.1438,-0.135,1.0652,0.008333,-0.045238,0.7068,1.0,0.5,0.75,0.2001,0.0909,0.0,0.0,0.925,0.449,1.05,1.054,1.125,0.503
C_claude_gemini_T4_rep01,C,claude_gemini,claude,gemini,T4,1,2026-02-13T00:00:12.899225,8,1,-0.2162,0.686,-0.0153,0.7526,-0.0203,-0.039286,-0.045238,0.6712,0.5,0.8333,1.0,0.3036,0.0996,0.0,0.0,0.515,0.974,0.74,0.803,1.225,0.777
C_claude_gemini_T4_rep02,C,claude_gemini,claude,gemini,T4,2,2026-02-12T17:18:57.179537,8,1,0.0195,0.416,0.5919,0.3552,0.6001,-0.015476,-0.094048,0.2569,0.8333,0.5,0.75,0.2544,0.0321,0.0625,0.0,0.52,0.815,0.745,0.764,1.225,0.579
C_claude_gemini_T4_rep03,C,claude_gemini,claude,gemini,T4,3,2026-02-12T22:19:06.341194,8,1,-0.1875,0.68,-0.3675,-0.2676,1.3733,-0.020833,-0.054167,0.7627,0.5,0.3333,1.0,0.3841,0.0943,0.125,0.0625,0.537,0.888,0.762,0.736,1.225,0.848
C_claude_gemini_T4_rep04,C,claude_gemini,claude,gemini,T4,4,2026-02-12T20:58:46.760186,8,1,0.4604,0.142,-0.8392,-0.1981,4.2362,-0.02619,-0.049405,0.8074,0.6667,0.5,0.75,0.4612,0.0419,0.0,0.0,0.52,0.652,0.745,0.633,1.225,0.981
C_claude_gemini_T4_rep05,C,claude_gemini,claude,gemini,T4,5,2026-02-12T16:15:11.076311,8,1,0.1826,0.348,-0.2808,-0.6093,2.1699,-0.031548,-0.064881,0.5958,0.6667,0.5,1.0,0.2357,0.0841,0.125,0.0625,0.418,0.424,0.597,0.36,1.179,0.936
C_gemini_claude_T4_rep01,C,gemini_claude,gemini,claude,T4,1,2026-02-12T16:30:00.748060,8,1,-0.227,0.651,-0.5306,0.454,-1.1687,-0.11369,-0.014286,1.5398,0.5,0.6667,0.75,0.0469,0.3397,0.1459,0.0,0.65,0.846,1.179,0.474,0.829,0.628
C_gemini_claude_T4_rep02,C,gemini_claude,gemini,claude,T4,2,2026-02-12T15:57:24.602841,8,1,0.344,0.25,0.243,-0.7058,-2.9045,-0.1,-0.033929,1.633,0.5,0.5,0.75,0.0408,0.3063,0.0625,0.0625,0.58,0.837,1.179,0.579,0.759,0.416
C_gemini_claude_T4_rep03,C,gemini_claude,gemini,claude,T4,3,2026-02-12T16:49:45.948217,8,1,-0.2676,0.697,0.2924,0.0572,0.1956,-0.064286,-0.024405,1.2753,0.6667,0.5,0.75,0.0752,0.2709,0.0,0.0625,0.575,0.801,1.179,0.641,0.754,0.84
C_gemini_claude_T4_rep04,C,gemini_claude,gemini,claude,T4,4,2026-02-12T22:45:23.919459,8,1,-0.4228,0.816,0.3108,0.4384,0.7089,0.002381,-0.035119,2.3847,0.5,0.6667,0.75,0.0664,0.4721,0.1041,0.125,0.561,0.568,1.179,1.072,0.74,0.64
C_gemini_claude_T4_rep05,C,gemini_claude,gemini,claude,T4,5,2026-02-12T20:47:32.175429,8,1,-0.0671,0.552,-0.5662,0.5044,-1.1225,-0.058333,-0.013095,0.9136,0.5,0.6667,1.0,0.0602,0.2367,0.0,0.0,0.721,0.99,1.125,0.536,0.846,0.526
C_gemini_gemini_T4_rep01,C,gemini_gemini,gemini,gemini,T4,1,2026-02-12T17:17:16.632006,8,1,-0.2611,0.705,-0.0466,0.7274,-0.0641,-0.025595,-0.006548,0.6373,0.6667,0.6667,1.0,0.1008,0.131,0.0,0.0625,0.967,0.528,1.146,0.984,1.179,0.512
C_gemini_gemini_T4_rep02,C,gemini_gemini,gemini,gemini,T4,2,2026-02-12T15:34:37.816113,8,1,-0.15,0.629,-0.0169,0.4916,-0.0344,-0.032738,-0.007738,1.1049,0.5,1.0,0.75,0.0654,0.0721,0.0625,0.0,0.896,0.749,1.179,0.503,1.075,0.754
C_gemini_gemini_T4_rep03,C,gemini_gemini,gemini,gemini,T4,3,2026-02-12T23:39:34.654138,8,1,-0.0882,0.64,-0.2177,-0.1026,2.1218,-0.066071,-0.045238,1.7203,0.3333,0.6667,0.75,0.025,0.0698,0.0,0.0,0.954,0.761,1.225,1.061,1.179,0.822
C_gemini_gemini_T4_rep04,C,gemini_gemini,gemini,gemini,T4,4,2026-02-12T16:53:28.634433,8,1,0.438,0.16,-0.1212,-0.7864,6.4884,-0.066071,-0.047619,1.2448,0.6667,0.5,0.75,0.0654,0.0841,0.0625,0.0,0.837,0.75,1.016,0.602,1.179,0.852
C_gemini_gemini_T4_rep05,C,gemini_gemini,gemini,gemini,T4,5,2026-02-12T22:03:34.126080,8,1,0.4834,0.135,0.1152,-0.4505,-3.9106,-0.015476,-0.004762,0.8097,0.6667,0.3333,0.75,0.1034,0.1261,0.0,0.0,0.889,0.857,1.186,0.908,1.075,0.765
C_gemini_gpt4o_T4_rep01,C,gemini_gpt4o,gemini,gpt4o,T4,1,2026-02-12T21:39:33.974884,8,1,0.434,0.165,-0.7351,0.6453,-1.1392,-0.019048,-0.023214,1.9639,0.1667,0.6667,1.0,0.0524,0.1451,0.0,0.0,0.691,0.877,1.179,0.588,0.87,0.711
C_gemini_gpt4o_T4_rep02,C,gemini_gpt4o,gemini,gpt4o,T4,2,2026-02-12T21:03:09.146909,8,1,-0.5964,0.917,-0.1162,0.9581,-0.1213,-0.064881,0.018452,3.555,0.1667,0.8333,0.5,0.1919,0.2049,0.0,0.0,0.637,0.784,1.225,0.717,0.862,0.933
C_gemini_gpt4o_T4_rep03,C,gemini_gpt4o,gemini,gpt4o,T4,3,2026-02-12T21:18:19.595108,8,1,-0.4495,0.834,0.0735,0.6355,0.1157,-0.042857,0.004167,1.0729,0.5,0.8333,1.0,0.0737,0.1251,0.0,0.0625,0.701,0.881,1.179,0.873,0.88,0.992
C_gemini_gpt4o_T4_rep04,C,gemini_gpt4o,gemini,gpt4o,T4,4,2026-02-12T23:47:11.162344,8,1,-0.452,0.83,0.0577,-0.1138,-1.9723,-0.015476,0.047619,0.8382,0.6667,0.6667,0.25,0.0208,0.1395,0.0,0.0,0.717,0.868,1.118,0.887,0.835,1.019
C_gemini_gpt4o_T4_rep05,C,gemini_gpt4o,gemini,gpt4o,T4,5,2026-02-12T22:53:38.564759,8,1,0.4319,0.163,0.3115,-0.2356,-0.7563,-0.005952,0.024405,1.4752,0.3333,0.6667,1.0,0.1599,0.217,0.0,0.0,0.614,0.982,1.346,1.008,0.96,1.026
C_gpt4o_gemini_T4_rep01,C,gpt4o_gemini,gpt4o,gemini,T4,1,2026-02-12T22:56:46.648064,8,1,-0.558,0.917,-0.2898,0.2935,-0.9874,0.019048,-0.032143,1.087,0.6667,0.3333,0.75,0.1802,0.0665,0.0,0.0,0.735,0.798,0.86,1.221,1.125,1.019
C_gpt4o_gemini_T4_rep02,C,gpt4o_gemini,gpt4o,gemini,T4,2,2026-02-12T22:16:05.088774,8,1,-0.5305,0.935,0.7898,0.4235,0.5362,0.004762,-0.036905,0.7901,0.8333,0.6667,0.75,0.213,0.0679,0.0,0.0,0.599,0.829,0.724,1.007,1.125,0.836
C_gpt4o_gemini_T4_rep03,C,gpt4o_gemini,gpt4o,gemini,T4,3,2026-02-12T15:43:03.383548,8,1,-0.033,0.551,-0.4846,0.6439,-0.7526,-0.032143,-0.046429,0.3565,0.5,0.5,1.0,0.1289,0.1641,0.0,0.0,0.583,0.826,0.864,0.706,1.281,0.532
C_gpt4o_gemini_T4_rep04,C,gpt4o_gemini,gpt4o,gemini,T4,4,2026-02-12T23:03:58.459474,8,1,0.035,0.483,0.2239,0.3786,0.5914,0.022024,-0.020238,0.434,0.6667,0.1667,0.75,0.2485,0.0739,0.0,0.0,0.788,0.893,0.967,1.178,1.179,1.071
C_gpt4o_gemini_T4_rep05,C,gpt4o_gemini,gpt4o,gemini,T4,5,2026-02-12T15:36:22.747413,8,1,0.5581,0.1,-0.4725,-0.7731,1.6362,-0.004167,-0.047619,1.1769,0.5,0.6667,0.75,0.2191,0.0856,0.0,0.0,0.92,0.558,1.045,1.151,1.125,0.709
D_claude_gemini_T4_rep01,D,claude_gemini,claude,gemini,T4,1,2026-02-12T20:54:34.269922,8,1,-0.2752,0.727,0.6121,0.1121,0.1831,0.016667,0.00119,0.6711,1.0,0.5,1.0,0.2953,0.0369,0.0,0.0,0.558,0.877,0.737,0.849,1.179,0.972
D_claude_gemini_T4_rep02,D,claude_gemini,claude,gemini,T4,2,2026-02-12T20:34:53.030365,8,1,-0.5801,0.907,0.2711,0.7134,0.38,0.009524,0.007143,1.9871,0.5,0.8333,1.0,0.237,0.0605,0.0,0.0,0.695,0.412,0.82,0.568,1.125,1.156
D_claude_gemini_T4_rep03,D,claude_gemini,claude,gemini,T4,3,2026-02-12T21:14:19.171147,8,1,0.3017,0.281,-0.2807,-0.1972,1.4234,0.0,0.011905,1.8563,0.3333,0.8333,0.75,0.2446,0.1131,0.0,0.0,0.305,0.824,0.586,0.861,1.281,1.037
D_claude_gemini_T4_rep04,D,claude_gemini,claude,gemini,T4,4,2026-02-12T16:33:26.879684,8,1,-0.8392,0.985,0.3033,0.6054,0.501,0.0,-0.009524,1.1613,0.8333,0.8333,0.75,0.2759,0.104,0.0,0.0,0.55,0.416,0.736,0.467,1.186,1.051
D_claude_gemini_T4_rep05,D,claude_gemini,claude,gemini,T4,5,2026-02-12T16:43:39.583133,8,1,-0.4044,0.849,0.0848,0.7779,0.109,0.009524,0.032143,0.2818,0.8333,0.5,1.0,0.2802,0.3441,0.0,0.0,0.641,0.272,0.82,0.667,1.179,1.395
D_gemini_claude_T4_rep01,D,gemini_claude,gemini,claude,T4,1,2026-02-12T16:58:20.475276,8,1,0.6922,0.029,-0.5904,0.598,-0.9873,0.02381,-0.009524,0.7873,0.1667,0.6667,0.75,0.0,0.182,0.0,0.0,0.556,0.537,1.225,1.031,0.781,0.568
D_gemini_claude_T4_rep02,D,gemini_claude,gemini,claude,T4,2,2026-02-12T16:39:32.741957,8,1,-0.1563,0.607,0.3699,0.0051,0.0138,0.029762,-0.004762,1.6235,0.5,0.8333,0.75,0.0444,0.2711,0.0,0.0,0.612,0.916,1.225,0.94,0.837,0.856
D_gemini_claude_T4_rep03,D,gemini_claude,gemini,claude,T4,3,2026-02-12T20:50:21.181189,8,1,-0.0321,0.55,0.2332,-0.5318,-2.2804,-0.015476,-0.028571,1.4908,0.6667,0.5,0.75,0.1634,0.3644,0.0,0.0,0.554,0.59,1.179,0.978,0.733,0.568
D_gemini_claude_T4_rep04,D,gemini_claude,gemini,claude,T4,4,2026-02-12T22:38:55.097908,8,1,-0.3816,0.816,-0.0424,0.179,-0.2369,0.02619,0.00119,0.2887,0.8333,0.3333,0.75,0.0,0.2545,0.0,0.0,0.531,0.582,1.225,1.141,0.756,0.723
D_gemini_claude_T4_rep05,D,gemini_claude,gemini,claude,T4,5,2026-02-12T16:55:10.913598,8,1,-0.2141,0.682,0.1467,0.3347,0.4383,0.011905,0.00119,1.5371,0.5,0.8333,0.75,0.0,0.267,0.0,0.0,0.615,0.94,1.125,0.744,0.74,0.684
