dialogue_id,condition,pairing,pairing_type,model,agent_role,turn_number,gamma_norm,gamma_vector,hedge_density,position_depth,self_reference_depth,hypothesis_diversity,revision_genuineness,structural_direction,sync_value,judge_divergence
A_claude_claude_T4_rep04,A,claude_claude,homogeneous,claude,A,6,0.801,"[0.584, 0.375, 0.4]",0.075,4.0,4.0,4.0,4.0,3.0,0.767,0.5771
A_claude_claude_T4_rep04,A,claude_claude,homogeneous,claude,A,7,0.495,"[0.15, 0.25, 0.4]",0.444,5.0,4.0,5.0,4.0,3.0,0.7,0.9183
A_claude_claude_T4_rep04,A,claude_claude,homogeneous,claude,A,8,0.568,"[0.15, 0.375, 0.4]",0.125,4.0,4.0,4.0,4.0,3.0,0.791,0.4974
A_claude_claude_T4_rep04,A,claude_claude,homogeneous,claude,B,1,0.737,"[0.209, 0.5, 0.5]",0.167,4.0,2.0,4.0,0.0,0.0,0.99,1.1547
A_claude_claude_T4_rep04,A,claude_claude,homogeneous,claude,B,2,0.418,"[0.15, 0.25, 0.3]",0.2,5.0,4.0,4.0,5.0,3.0,0.723,0.642
A_claude_claude_T4_rep04,A,claude_claude,homogeneous,claude,B,3,0.723,"[0.15, 0.375, 0.6]",0.172,4.0,4.0,4.0,2.0,3.0,0.917,0.8656
A_claude_claude_T4_rep04,A,claude_claude,homogeneous,claude,B,4,0.568,"[0.15, 0.375, 0.4]",0.167,5.0,4.0,4.0,4.0,3.0,0.927,0.7719
A_claude_claude_T4_rep04,A,claude_claude,homogeneous,claude,B,5,0.568,"[0.15, 0.375, 0.4]",0.233,4.0,4.0,4.0,4.0,3.0,0.956,0.4472
A_claude_claude_T4_rep04,A,claude_claude,homogeneous,claude,B,6,0.568,"[0.15, 0.375, 0.4]",0.25,5.0,4.0,4.0,4.0,3.0,0.767,0.5771
A_claude_claude_T4_rep04,A,claude_claude,homogeneous,claude,B,7,0.795,"[0.15, 0.5, 0.6]",0.229,4.0,2.0,4.0,2.0,3.0,0.7,0.9183
A_claude_claude_T4_rep04,A,claude_claude,homogeneous,claude,B,8,0.777,"[0.539, 0.25, 0.5]",0.15,4.0,4.0,4.0,3.0,3.0,0.791,0.4974
A_claude_claude_T4_rep05,A,claude_claude,homogeneous,claude,A,1,0.742,"[0.225, 0.5, 0.5]",0.2,4.0,2.0,4.0,0.0,0.0,0.917,1.4434
A_claude_claude_T4_rep05,A,claude_claude,homogeneous,claude,A,2,0.68,"[0.535, 0.125, 0.4]",0.27,4.0,4.0,5.0,4.0,3.0,0.787,0.7071
A_claude_claude_T4_rep05,A,claude_claude,homogeneous,claude,A,3,0.568,"[0.15, 0.375, 0.4]",0.548,5.0,4.0,4.0,4.0,3.0,0.887,1.0952
A_claude_claude_T4_rep05,A,claude_claude,homogeneous,claude,A,4,0.568,"[0.15, 0.375, 0.4]",0.485,4.0,4.0,4.0,4.0,3.0,0.961,0.7937
A_claude_claude_T4_rep05,A,claude_claude,homogeneous,claude,A,5,0.568,"[0.15, 0.375, 0.4]",0.432,3.0,2.0,5.0,4.0,3.0,0.695,1.4068
A_claude_claude_T4_rep05,A,claude_claude,homogeneous,claude,A,6,0.431,"[0.1, 0.125, 0.4]",0.441,5.0,4.0,5.0,4.0,3.0,0.819,0.6922
A_claude_claude_T4_rep05,A,claude_claude,homogeneous,claude,A,7,0.608,"[0.15, 0.312, 0.5]",0.515,4.0,5.0,4.0,3.0,3.0,0.849,0.9885
A_claude_claude_T4_rep05,A,claude_claude,homogeneous,claude,A,8,0.612,"[0.15, 0.438, 0.4]",0.487,5.0,4.0,4.0,4.0,3.0,0.969,0.9237
A_claude_claude_T4_rep05,A,claude_claude,homogeneous,claude,B,1,0.825,"[0.201, 0.625, 0.5]",0.152,4.0,1.0,4.0,0.0,0.0,0.917,1.4434
A_claude_claude_T4_rep05,A,claude_claude,homogeneous,claude,B,2,0.467,"[0.15, 0.188, 0.4]",0.289,5.0,4.0,4.0,4.0,3.0,0.787,0.7071
A_claude_claude_T4_rep05,A,claude_claude,homogeneous,claude,B,3,0.681,"[0.15, 0.438, 0.5]",0.37,4.0,1.0,5.0,3.0,3.0,0.887,1.0952
A_claude_claude_T4_rep05,A,claude_claude,homogeneous,claude,B,4,0.529,"[0.15, 0.312, 0.4]",0.4,5.0,2.0,4.0,4.0,3.0,0.961,0.7937
A_claude_claude_T4_rep05,A,claude_claude,homogeneous,claude,B,5,0.873,"[0.507, 0.125, 0.7]",0.415,5.0,4.0,5.0,1.0,3.0,0.695,1.4068
A_claude_claude_T4_rep05,A,claude_claude,homogeneous,claude,B,6,0.612,"[0.15, 0.438, 0.4]",0.385,4.0,3.0,4.0,4.0,3.0,0.819,0.6922
A_claude_claude_T4_rep05,A,claude_claude,homogeneous,claude,B,7,0.759,"[0.565, 0.312, 0.4]",0.515,4.0,2.0,5.0,4.0,3.0,0.849,0.9885
A_claude_claude_T4_rep05,A,claude_claude,homogeneous,claude,B,8,0.643,"[0.15, 0.375, 0.5]",0.385,5.0,2.0,4.0,3.0,3.0,0.969,0.9237
A_claude_gpt4o_T4_rep01,A,claude_gpt4o,heterogeneous,claude,A,1,0.739,"[0.216, 0.5, 0.5]",0.182,4.0,2.0,4.0,0.0,0.0,0.83,1.3411
A_claude_gpt4o_T4_rep01,A,claude_gpt4o,heterogeneous,claude,A,2,0.495,"[0.15, 0.25, 0.4]",0.219,5.0,4.0,4.0,4.0,3.0,0.772,1.0054
A_claude_gpt4o_T4_rep01,A,claude_gpt4o,heterogeneous,claude,A,3,0.752,"[0.515, 0.375, 0.4]",0.189,5.0,2.0,5.0,4.0,3.0,0.952,1.3038
A_claude_gpt4o_T4_rep01,A,claude_gpt4o,heterogeneous,claude,A,4,0.671,"[0.524, 0.125, 0.4]",0.237,5.0,4.0,5.0,4.0,3.0,0.956,1.0703
A_claude_gpt4o_T4_rep01,A,claude_gpt4o,heterogeneous,claude,A,5,0.944,"[0.625, 0.5, 0.5]",0.486,5.0,2.0,4.0,3.0,3.0,0.771,1.1402
A_claude_gpt4o_T4_rep01,A,claude_gpt4o,heterogeneous,claude,A,6,0.495,"[0.15, 0.25, 0.4]",0.333,4.0,4.0,4.0,4.0,3.0,0.772,0.8755
A_claude_gpt4o_T4_rep01,A,claude_gpt4o,heterogeneous,claude,A,7,0.718,"[0.541, 0.25, 0.4]",0.25,4.0,4.0,5.0,4.0,3.0,0.916,0.9237
A_claude_gpt4o_T4_rep01,A,claude_gpt4o,heterogeneous,claude,A,8,0.745,"[0.57, 0.375, 0.3]",0.389,4.0,4.0,4.0,5.0,3.0,0.978,1.0054
A_claude_gpt4o_T4_rep01,A,claude_gpt4o,heterogeneous,gpt4o,B,1,0.909,"[0.43, 0.625, 0.5]",0.36,3.0,1.0,4.0,0.0,0.0,0.83,1.3411
A_claude_gpt4o_T4_rep01,A,claude_gpt4o,heterogeneous,gpt4o,B,2,0.723,"[0.15, 0.375, 0.6]",0.32,4.0,1.0,4.0,2.0,3.0,0.772,1.0054
A_claude_gpt4o_T4_rep01,A,claude_gpt4o,heterogeneous,gpt4o,B,3,0.8,"[0.1, 0.375, 0.7]",0.3,2.0,1.0,4.0,1.0,3.0,0.952,1.3038
A_claude_gpt4o_T4_rep01,A,claude_gpt4o,heterogeneous,gpt4o,B,4,0.715,"[0.1, 0.375, 0.6]",0.188,4.0,1.0,4.0,2.0,3.0,0.956,1.0703
A_claude_gpt4o_T4_rep01,A,claude_gpt4o,heterogeneous,gpt4o,B,5,0.715,"[0.1, 0.375, 0.6]",0.074,2.0,1.0,4.0,2.0,3.0,0.771,1.1402
A_claude_gpt4o_T4_rep01,A,claude_gpt4o,heterogeneous,gpt4o,B,6,0.723,"[0.15, 0.375, 0.6]",0.296,1.0,1.0,4.0,2.0,3.0,0.772,0.8755
A_claude_gpt4o_T4_rep01,A,claude_gpt4o,heterogeneous,gpt4o,B,7,0.802,"[0.05, 0.625, 0.5]",0.333,4.0,1.0,2.0,3.0,3.0,0.916,0.9237
A_claude_gpt4o_T4_rep01,A,claude_gpt4o,heterogeneous,gpt4o,B,8,0.767,"[0.537, 0.375, 0.4]",0.259,4.0,1.0,4.0,4.0,3.0,0.978,1.0054
A_claude_gpt4o_T4_rep02,A,claude_gpt4o,heterogeneous,claude,A,1,0.634,"[0.299, 0.25, 0.5]",0.348,4.0,4.0,4.0,0.0,0.0,0.8,0.866
A_claude_gpt4o_T4_rep02,A,claude_gpt4o,heterogeneous,claude,A,2,0.743,"[0.501, 0.375, 0.4]",0.35,4.0,4.0,4.0,4.0,3.0,0.996,0.8755
A_claude_gpt4o_T4_rep02,A,claude_gpt4o,heterogeneous,claude,A,3,0.758,"[0.15, 0.25, 0.7]",0.371,5.0,4.0,5.0,1.0,3.0,0.957,1.4068
A_claude_gpt4o_T4_rep02,A,claude_gpt4o,heterogeneous,claude,A,4,0.746,"[0.547, 0.312, 0.4]",0.465,5.0,3.0,5.0,4.0,3.0,0.969,1.1519
A_claude_gpt4o_T4_rep02,A,claude_gpt4o,heterogeneous,claude,A,5,0.729,"[0.524, 0.312, 0.4]",0.417,5.0,4.0,4.0,4.0,3.0,0.986,0.9237
A_claude_gpt4o_T4_rep02,A,claude_gpt4o,heterogeneous,claude,A,6,0.568,"[0.15, 0.375, 0.4]",0.4,4.0,4.0,4.0,4.0,3.0,0.696,0.7937
A_claude_gpt4o_T4_rep02,A,claude_gpt4o,heterogeneous,claude,A,7,0.953,"[0.526, 0.375, 0.7]",0.349,4.0,4.0,4.0,1.0,3.0,0.901,1.222
A_claude_gpt4o_T4_rep02,A,claude_gpt4o,heterogeneous,claude,A,8,0.495,"[0.15, 0.25, 0.4]",0.297,5.0,4.0,5.0,4.0,3.0,0.78,0.9885
A_claude_gpt4o_T4_rep02,A,claude_gpt4o,heterogeneous,gpt4o,B,1,0.834,"[0.234, 0.625, 0.5]",0.219,4.0,1.0,4.0,0.0,0.0,0.8,0.866
A_claude_gpt4o_T4_rep02,A,claude_gpt4o,heterogeneous,gpt4o,B,2,0.747,"[0.507, 0.375, 0.4]",0.233,4.0,1.0,4.0,4.0,3.0,0.996,0.8755
A_claude_gpt4o_T4_rep02,A,claude_gpt4o,heterogeneous,gpt4o,B,3,0.715,"[0.1, 0.375, 0.6]",0.194,2.0,1.0,4.0,2.0,3.0,0.957,1.4068
A_claude_gpt4o_T4_rep02,A,claude_gpt4o,heterogeneous,gpt4o,B,4,0.715,"[0.1, 0.375, 0.6]",0.216,4.0,1.0,4.0,2.0,3.0,0.969,1.1519
A_claude_gpt4o_T4_rep02,A,claude_gpt4o,heterogeneous,gpt4o,B,5,0.715,"[0.1, 0.375, 0.6]",0.3,2.0,1.0,4.0,2.0,3.0,0.986,0.9237
A_claude_gpt4o_T4_rep02,A,claude_gpt4o,heterogeneous,gpt4o,B,6,0.872,"[0.1, 0.625, 0.6]",0.379,4.0,1.0,2.0,2.0,3.0,0.696,0.7937
A_claude_gpt4o_T4_rep02,A,claude_gpt4o,heterogeneous,gpt4o,B,7,1.052,"[0.596, 0.625, 0.6]",0.188,4.0,1.0,2.0,2.0,3.0,0.901,1.222
A_claude_gpt4o_T4_rep02,A,claude_gpt4o,heterogeneous,gpt4o,B,8,0.715,"[0.1, 0.375, 0.6]",0.103,2.0,1.0,4.0,2.0,3.0,0.78,0.9885
A_claude_gpt4o_T4_rep03,A,claude_gpt4o,heterogeneous,claude,A,1,0.637,"[0.305, 0.25, 0.5]",0.36,4.0,4.0,4.0,0.0,0.0,0.801,0.866
A_claude_gpt4o_T4_rep03,A,claude_gpt4o,heterogeneous,claude,A,2,0.467,"[0.15, 0.188, 0.4]",0.207,5.0,5.0,5.0,4.0,3.0,0.594,1.0991
A_claude_gpt4o_T4_rep03,A,claude_gpt4o,heterogeneous,claude,A,3,0.727,"[0.521, 0.312, 0.4]",0.25,5.0,4.0,5.0,4.0,3.0,0.769,0.9885
A_claude_gpt4o_T4_rep03,A,claude_gpt4o,heterogeneous,claude,A,4,0.495,"[0.15, 0.25, 0.4]",0.244,4.0,4.0,5.0,4.0,3.0,0.549,0.9237
A_claude_gpt4o_T4_rep03,A,claude_gpt4o,heterogeneous,claude,A,5,0.658,"[0.15, 0.5, 0.4]",0.158,5.0,2.0,4.0,4.0,3.0,0.551,1.222
A_claude_gpt4o_T4_rep03,A,claude_gpt4o,heterogeneous,claude,A,6,0.758,"[0.15, 0.438, 0.6]",0.394,4.0,1.0,4.0,2.0,3.0,0.848,1.3038
A_claude_gpt4o_T4_rep03,A,claude_gpt4o,heterogeneous,claude,A,7,0.555,"[0.15, 0.188, 0.5]",0.229,5.0,4.0,4.0,3.0,3.0,0.687,0.8367
A_claude_gpt4o_T4_rep03,A,claude_gpt4o,heterogeneous,claude,A,8,0.808,"[0.15, 0.375, 0.7]",0.263,4.0,4.0,4.0,1.0,3.0,0.994,1.222
A_claude_gpt4o_T4_rep03,A,claude_gpt4o,heterogeneous,gpt4o,B,1,0.836,"[0.241, 0.625, 0.5]",0.233,4.0,1.0,4.0,0.0,0.0,0.801,0.866
A_claude_gpt4o_T4_rep03,A,claude_gpt4o,heterogeneous,gpt4o,B,2,0.873,"[0.512, 0.375, 0.6]",0.257,4.0,1.0,4.0,2.0,3.0,0.594,1.0991
A_claude_gpt4o_T4_rep03,A,claude_gpt4o,heterogeneous,gpt4o,B,3,0.958,"[0.527, 0.625, 0.5]",0.312,4.0,1.0,2.0,3.0,3.0,0.769,0.9885
A_claude_gpt4o_T4_rep03,A,claude_gpt4o,heterogeneous,gpt4o,B,4,0.946,"[0.504, 0.625, 0.5]",0.303,4.0,1.0,2.0,3.0,3.0,0.549,0.9237
A_claude_gpt4o_T4_rep03,A,claude_gpt4o,heterogeneous,gpt4o,B,5,1.107,"[0.587, 0.625, 0.7]",0.129,4.0,1.0,2.0,1.0,3.0,0.551,1.222
A_claude_gpt4o_T4_rep03,A,claude_gpt4o,heterogeneous,gpt4o,B,6,0.91,"[0.572, 0.375, 0.6]",0.273,4.0,1.0,4.0,2.0,3.0,0.848,1.3038
A_claude_gpt4o_T4_rep03,A,claude_gpt4o,heterogeneous,gpt4o,B,7,0.868,"[0.05, 0.625, 0.6]",0.222,1.0,1.0,2.0,2.0,3.0,0.687,0.8367
A_claude_gpt4o_T4_rep03,A,claude_gpt4o,heterogeneous,gpt4o,B,8,0.802,"[0.05, 0.625, 0.5]",0.111,4.0,1.0,2.0,3.0,3.0,0.994,1.222
A_claude_gpt4o_T4_rep04,A,claude_gpt4o,heterogeneous,claude,A,1,0.83,"[0.435, 0.5, 0.5]",0.37,3.0,2.0,4.0,0.0,0.0,1.0,1.366
A_claude_gpt4o_T4_rep04,A,claude_gpt4o,heterogeneous,claude,A,2,0.482,"[0.1, 0.25, 0.4]",0.359,5.0,2.0,5.0,4.0,3.0,0.767,1.222
A_claude_gpt4o_T4_rep04,A,claude_gpt4o,heterogeneous,claude,A,3,0.678,"[0.533, 0.125, 0.4]",0.425,5.0,4.0,5.0,4.0,3.0,0.955,0.9885
A_claude_gpt4o_T4_rep04,A,claude_gpt4o,heterogeneous,claude,A,4,0.873,"[0.594, 0.5, 0.4]",0.237,5.0,2.0,4.0,4.0,3.0,0.994,1.1402
A_claude_gpt4o_T4_rep04,A,claude_gpt4o,heterogeneous,claude,A,5,0.673,"[0.548, 0.25, 0.3]",0.333,5.0,4.0,4.0,5.0,3.0,0.651,0.9885
A_claude_gpt4o_T4_rep04,A,claude_gpt4o,heterogeneous,claude,A,6,0.658,"[0.15, 0.5, 0.4]",0.211,4.0,2.0,4.0,4.0,3.0,0.756,1.0991
A_claude_gpt4o_T4_rep04,A,claude_gpt4o,heterogeneous,claude,A,7,0.739,"[0.537, 0.312, 0.4]",0.286,4.0,3.0,4.0,4.0,3.0,0.733,0.8439
A_claude_gpt4o_T4_rep04,A,claude_gpt4o,heterogeneous,claude,A,8,0.495,"[0.15, 0.25, 0.4]",0.389,5.0,5.0,4.0,4.0,3.0,0.615,1.0703
A_claude_gpt4o_T4_rep04,A,claude_gpt4o,heterogeneous,gpt4o,B,1,0.83,"[0.221, 0.625, 0.5]",0.192,4.0,1.0,4.0,0.0,0.0,1.0,1.366
A_claude_gpt4o_T4_rep04,A,claude_gpt4o,heterogeneous,gpt4o,B,2,0.715,"[0.1, 0.375, 0.6]",0.348,2.0,1.0,4.0,2.0,3.0,0.767,1.222
A_claude_gpt4o_T4_rep04,A,claude_gpt4o,heterogeneous,gpt4o,B,3,0.723,"[0.15, 0.375, 0.6]",0.276,3.0,1.0,4.0,2.0,3.0,0.955,0.9885
A_claude_gpt4o_T4_rep04,A,claude_gpt4o,heterogeneous,gpt4o,B,4,0.879,"[0.15, 0.625, 0.6]",0.286,4.0,1.0,2.0,2.0,3.0,0.994,1.1402
A_claude_gpt4o_T4_rep04,A,claude_gpt4o,heterogeneous,gpt4o,B,5,1.022,"[0.543, 0.625, 0.6]",0.2,4.0,1.0,2.0,2.0,3.0,0.651,0.9885
A_claude_gpt4o_T4_rep04,A,claude_gpt4o,heterogeneous,gpt4o,B,6,0.902,"[0.56, 0.375, 0.6]",0.32,4.0,1.0,4.0,2.0,3.0,0.756,1.0991
A_claude_gpt4o_T4_rep04,A,claude_gpt4o,heterogeneous,gpt4o,B,7,1.006,"[0.512, 0.625, 0.6]",0.345,4.0,1.0,2.0,2.0,3.0,0.733,0.8439
A_claude_gpt4o_T4_rep04,A,claude_gpt4o,heterogeneous,gpt4o,B,8,0.88,"[0.524, 0.375, 0.6]",0.393,4.0,1.0,4.0,2.0,3.0,0.615,1.0703
A_claude_gpt4o_T4_rep05,A,claude_gpt4o,heterogeneous,claude,A,1,0.762,"[0.285, 0.5, 0.5]",0.32,4.0,2.0,4.0,0.0,0.0,0.863,1.3411
A_claude_gpt4o_T4_rep05,A,claude_gpt4o,heterogeneous,claude,A,2,0.445,"[0.15, 0.125, 0.4]",0.361,5.0,4.0,5.0,4.0,3.0,0.63,0.966
A_claude_gpt4o_T4_rep05,A,claude_gpt4o,heterogeneous,claude,A,3,0.782,"[0.51, 0.438, 0.4]",0.382,5.0,1.0,5.0,4.0,3.0,0.941,1.4886
