dialogue_id,condition,pairing,model_a,model_b,topic,repetition,timestamp,num_turns,episode_number,coupling_lag0,coupling_lag0_p_perm,coupling_lag1_a_to_b,coupling_lag1_b_to_a,bidirectional_index,gamma3_slope_a,gamma3_slope_b,asymmetry_index,transfer_proxy_a_to_b,transfer_proxy_b_to_a,position_convergence,mean_hedge_density_a,mean_hedge_density_b,mean_sycophancy_a,mean_sycophancy_b,sync_initial,sync_final,gamma_norm_a_initial,gamma_norm_a_final,gamma_norm_b_initial,gamma_norm_b_final
B_claude_gpt4o_T4_rep01,B,claude_gpt4o,claude,gpt4o,T4,1,2026-02-11T21:37:02.301463,8,1,0.4571,0.181,-0.1351,-0.6924,5.1251,-0.004762,0.026786,0.7773,0.6667,0.5,1.0,0.2462,0.1975,0.0,0.0,0.833,0.712,0.655,0.568,0.822,0.856
B_claude_gpt4o_T4_rep02,B,claude_gpt4o,claude,gpt4o,T4,2,2026-02-11T15:14:46.972844,8,1,0.7472,0.032,-0.578,-0.8915,1.5424,0.019048,-0.007143,0.7073,0.5,0.3333,0.25,0.3112,0.1797,0.0,0.0,0.878,0.984,0.848,0.723,0.97,0.739
B_claude_gpt4o_T4_rep03,B,claude_gpt4o,claude,gpt4o,T4,3,2026-02-11T23:33:40.289601,8,1,0.8785,0.004,-0.3374,-0.9126,2.7048,-0.011905,0.013095,1.2045,0.5,0.5,0.25,0.2978,0.2052,0.0625,0.0,0.993,0.729,0.83,0.568,0.823,0.839
B_claude_gpt4o_T4_rep04,B,claude_gpt4o,claude,gpt4o,T4,4,2026-02-12T00:48:32.983918,8,1,-0.0859,0.566,0.1428,-0.5515,-3.862,0.009524,0.018452,0.8774,0.5,0.5,0.5,0.3024,0.269,0.0,0.0625,0.752,0.877,0.591,0.832,0.839,0.709
B_claude_gpt4o_T4_rep05,B,claude_gpt4o,claude,gpt4o,T4,5,2026-02-11T23:22:54.398677,8,1,-0.3787,0.811,0.2399,0.1137,0.4739,-0.00119,0.02619,0.7008,0.6667,0.6667,1.0,0.189,0.1636,0.0,0.0,0.961,0.348,0.745,0.568,0.784,1.22
B_gpt4o_claude_T4_rep01,B,gpt4o_claude,gpt4o,claude,T4,1,2026-02-11T21:24:20.547422,8,1,0.8091,0.019,-0.8898,-0.246,3.6171,0.011905,-0.003571,0.5712,0.6667,0.3333,0.75,0.212,0.2651,0.0,0.0625,0.823,0.648,0.748,1.03,0.571,0.678
B_gpt4o_claude_T4_rep02,B,gpt4o_claude,gpt4o,claude,T4,2,2026-02-12T00:13:56.765729,8,1,0.0204,0.468,0.2878,-0.7194,-2.4997,0.014286,-0.027381,1.2706,0.3333,0.5,0.75,0.2667,0.2797,0.0,0.0,0.896,0.836,0.844,0.873,0.74,0.709
B_gpt4o_claude_T4_rep03,B,gpt4o_claude,gpt4o,claude,T4,3,2026-02-11T23:04:47.046200,8,1,-0.4204,0.858,-0.2404,-0.2048,1.1738,0.0,-0.025595,1.197,0.3333,0.3333,1.0,0.1755,0.2496,0.0,0.0,0.992,0.742,0.819,0.98,0.827,0.722
B_gpt4o_claude_T4_rep04,B,gpt4o_claude,gpt4o,claude,T4,4,2026-02-11T23:51:33.913494,8,1,-0.3572,0.778,-0.0748,0.0281,-2.6619,0.008333,-0.042857,0.409,0.6667,0.3333,0.75,0.2548,0.3485,0.0,0.0,0.917,0.932,0.85,0.715,0.767,0.783
B_gpt4o_claude_T4_rep05,B,gpt4o_claude,gpt4o,claude,T4,5,2026-02-12T00:59:13.728200,8,1,0.1583,0.405,-0.2491,-0.2327,1.0705,0.007143,-0.047024,0.48,0.6667,0.3333,0.75,0.1534,0.2905,0.0,0.0,0.778,0.602,0.862,0.872,0.64,0.474
B_gpt4o_gpt4o_T4_rep01,B,gpt4o_gpt4o,gpt4o,gpt4o,T4,1,2026-02-11T23:57:07.268218,8,1,-0.1622,0.655,-0.0392,0.5948,-0.0659,0.008333,-0.020833,0.5194,0.6667,0.5,0.25,0.31,0.2216,0.0,0.0,0.943,0.849,0.83,0.892,0.773,0.741
B_gpt4o_gpt4o_T4_rep02,B,gpt4o_gpt4o,gpt4o,gpt4o,T4,2,2026-02-12T00:44:28.570421,8,1,0.0845,0.437,-0.5047,0.0817,-6.1775,0.010714,-0.042262,0.3371,0.5,0.5,1.0,0.3044,0.3036,0.0,0.0,0.983,0.991,0.845,0.945,0.862,0.936
B_gpt4o_gpt4o_T4_rep03,B,gpt4o_gpt4o,gpt4o,gpt4o,T4,3,2026-02-11T10:17:06.071176,8,1,0.9141,0.001,-0.2044,-0.3537,1.7304,0.007143,0.015476,0.8048,0.6667,0.3333,1.0,0.2139,0.212,0.0,0.0,0.907,0.879,0.928,0.715,0.835,0.594
B_gpt4o_gpt4o_T4_rep04,B,gpt4o_gpt4o,gpt4o,gpt4o,T4,4,2026-02-11T13:25:35.423047,8,1,-0.3284,0.789,0.0125,0.1328,0.0941,0.008333,-0.007738,0.5349,0.6667,0.5,1.0,0.1774,0.2186,0.0,0.0,0.819,0.477,1.065,1.014,0.884,0.491
B_gpt4o_gpt4o_T4_rep05,B,gpt4o_gpt4o,gpt4o,gpt4o,T4,5,2026-02-11T21:06:44.577302,8,1,-0.6135,0.921,0.5102,0.1489,0.2918,-0.004762,0.001786,1.0744,0.8333,0.5,0.5,0.2519,0.2345,0.0,0.0,0.899,0.834,0.847,0.762,0.948,0.928
C_claude_claude_T4_rep01,C,claude_claude,claude,claude,T4,1,2026-02-11T11:28:03.620972,8,1,0.2262,0.317,0.3356,-0.3644,-1.0858,-0.032143,-0.034524,0.915,0.6667,0.6667,0.75,0.4853,0.4224,0.0625,0.125,0.917,0.753,0.754,0.71,0.837,0.463
C_claude_claude_T4_rep02,C,claude_claude,claude,claude,T4,2,2026-02-11T11:48:37.668891,8,1,0.1108,0.406,0.0068,-0.1702,-25.0294,-0.02619,0.015476,0.6107,0.5,0.3333,0.75,0.3066,0.3997,0.0416,0.125,0.874,0.788,0.731,0.78,0.605,0.568
C_claude_claude_T4_rep03,C,claude_claude,claude,claude,T4,3,2026-02-12T00:37:24.527289,8,1,0.0821,0.391,-0.2631,-0.008,32.8875,-0.033333,-0.017857,0.7803,0.8333,0.5,0.75,0.4051,0.3656,0.2084,0.0625,0.913,0.996,0.824,0.427,0.737,0.431
C_claude_claude_T4_rep04,C,claude_claude,claude,claude,T4,4,2026-02-11T01:52:00.563896,8,1,0.2364,0.296,-0.5917,0.7264,-0.8146,-0.039286,-0.058333,1.1009,0.3333,0.8333,1.0,0.4209,0.4079,0.125,0.0625,0.993,0.906,0.736,0.738,0.729,0.644
C_claude_claude_T4_rep05,C,claude_claude,claude,claude,T4,5,2026-02-11T13:35:44.373392,8,1,0.5775,0.086,-0.0459,-0.3549,7.732,-0.044048,-0.024405,0.5635,1.0,0.3333,1.0,0.3369,0.3075,0.1459,0.0625,0.978,0.881,0.74,0.594,0.762,0.475
C_claude_gpt4o_T4_rep01,C,claude_gpt4o,claude,gpt4o,T4,1,2026-02-11T10:34:24.063035,8,1,0.2147,0.315,-0.334,-0.0771,4.332,-0.049405,-0.036905,0.9161,0.3333,0.6667,0.75,0.2781,0.15,0.0625,0.0625,0.761,0.797,0.739,0.7,0.978,0.903
C_claude_gpt4o_T4_rep02,C,claude_gpt4o,claude,gpt4o,T4,2,2026-02-11T22:24:18.148022,8,1,0.2588,0.304,0.9554,0.1288,0.1348,-0.02381,0.002976,0.6088,0.6667,0.3333,0.75,0.2601,0.19,0.0625,0.0,0.94,0.862,0.82,0.713,0.88,0.851
C_claude_gpt4o_T4_rep03,C,claude_gpt4o,claude,gpt4o,T4,3,2026-02-11T22:05:22.682358,8,1,-0.1935,0.699,0.8566,0.1058,0.1235,-0.029762,-0.00119,1.725,0.5,0.6667,1.0,0.293,0.2411,0.0,0.0,0.901,0.992,0.745,0.757,0.844,0.749
C_claude_gpt4o_T4_rep04,C,claude_gpt4o,claude,gpt4o,T4,4,2026-02-11T21:47:51.302162,8,1,-0.4992,0.884,0.5465,0.4686,0.8575,-0.026786,-0.041071,0.8486,0.8333,0.6667,1.0,0.2983,0.2659,0.0,0.0625,0.859,0.968,0.743,0.36,0.884,0.328
C_claude_gpt4o_T4_rep05,C,claude_gpt4o,claude,gpt4o,T4,5,2026-02-11T12:47:57.228496,8,1,0.0568,0.437,0.7845,0.5957,0.7593,-0.0125,0.01369,1.3881,0.8333,0.6667,0.25,0.3676,0.183,0.0,0.0,0.832,0.722,0.627,0.358,0.795,0.636
C_gpt4o_claude_T4_rep01,C,gpt4o_claude,gpt4o,claude,T4,1,2026-02-12T01:24:00.790243,8,1,-0.2089,0.649,0.4127,0.1833,0.4441,-0.007143,-0.0125,1.0794,0.6667,0.6667,0.75,0.2644,0.3036,0.0,0.0,0.911,0.532,0.842,0.93,0.753,0.462
C_gpt4o_claude_T4_rep02,C,gpt4o_claude,gpt4o,claude,T4,2,2026-02-11T23:39:53.980153,8,1,-0.7235,0.967,0.7403,0.8053,0.9193,-0.020238,-0.032738,0.8046,1.0,1.0,0.75,0.2065,0.2916,0.0,0.0,0.899,0.988,0.847,0.715,0.746,0.727
C_gpt4o_claude_T4_rep03,C,gpt4o_claude,gpt4o,claude,T4,3,2026-02-11T21:59:25.604452,8,1,0.2516,0.28,-0.3648,0.5303,-0.6879,-0.021429,-0.020238,0.6396,0.5,0.5,0.75,0.1945,0.4265,0.0,0.0,0.812,0.834,0.877,0.924,0.689,0.758
C_gpt4o_claude_T4_rep04,C,gpt4o_claude,gpt4o,claude,T4,4,2026-02-12T00:19:31.922175,8,1,0.8373,0.005,-0.8642,-0.1782,4.8496,-0.00119,-0.027976,1.0505,0.5,0.6667,0.75,0.3073,0.3719,0.0,0.0,0.974,0.813,0.741,0.827,0.767,0.64
C_gpt4o_claude_T4_rep05,C,gpt4o_claude,gpt4o,claude,T4,5,2026-02-11T23:45:52.798681,8,1,0.3578,0.217,0.433,-0.5438,-1.2559,-0.017857,-0.047024,1.3268,0.3333,0.8333,0.75,0.257,0.3352,0.0,0.0,0.9,0.868,0.854,0.713,0.754,0.581
C_gpt4o_gpt4o_T4_rep01,C,gpt4o_gpt4o,gpt4o,gpt4o,T4,1,2026-02-11T11:39:26.124303,8,1,-0.4777,0.844,0.0529,0.6095,0.0868,0.024405,0.045833,0.4088,0.8333,0.3333,1.0,0.2381,0.2779,0.0,0.0,0.967,0.976,0.845,0.988,0.878,0.964
C_gpt4o_gpt4o_T4_rep02,C,gpt4o_gpt4o,gpt4o,gpt4o,T4,2,2026-02-11T22:48:11.321956,8,1,0.3707,0.203,-0.6136,0.0577,-10.6343,0.03869,0.03869,0.6977,0.8333,0.5,1.0,0.1849,0.1591,0.0625,0.0,0.982,0.9,0.84,1.01,0.822,1.11
C_gpt4o_gpt4o_T4_rep03,C,gpt4o_gpt4o,gpt4o,gpt4o,T4,3,2026-02-11T09:58:49.760023,8,1,-0.0444,0.549,-0.1822,0.8756,-0.2081,0.040476,0.068452,1.0961,0.5,0.8333,1.0,0.1,0.0935,0.0625,0.0,0.934,0.924,0.923,1.105,0.857,1.181
C_gpt4o_gpt4o_T4_rep04,C,gpt4o_gpt4o,gpt4o,gpt4o,T4,4,2026-02-11T11:18:18.708646,8,1,0.4487,0.203,-0.34,-0.4106,1.2076,0.025,0.045833,1.023,0.5,0.6667,0.5,0.1815,0.1661,0.0,0.0,0.94,0.987,0.889,0.978,0.829,0.991
C_gpt4o_gpt4o_T4_rep05,C,gpt4o_gpt4o,gpt4o,gpt4o,T4,5,2026-02-11T01:44:06.624451,8,1,0.8046,0.022,-0.9176,-0.707,1.2979,0.01369,0.042262,0.9752,0.6667,0.5,0.25,0.1155,0.1057,0.0,0.0,0.958,0.992,0.877,0.844,0.835,0.852
D_claude_claude_T4_rep01,D,claude_claude,claude,claude,T4,1,2026-02-11T12:38:02.131823,8,1,0.1447,0.383,0.0876,-0.5736,-6.5479,0.011905,0.033333,1.6726,0.3333,0.8333,1.0,0.2632,0.1016,0.0,0.0,0.882,0.721,0.848,0.849,0.73,1.128
D_claude_claude_T4_rep02,D,claude_claude,claude,claude,T4,2,2026-02-11T07:10:43.745244,8,1,0.1776,0.338,-0.1944,-0.2493,1.2824,0.007143,0.015476,1.2504,0.8333,0.5,0.75,0.275,0.2524,0.0,0.0,0.994,0.828,0.731,0.495,0.737,0.667
D_claude_claude_T4_rep03,D,claude_claude,claude,claude,T4,3,2026-02-11T22:35:18.187283,8,1,0.7422,0.035,-0.3382,-0.2089,1.619,0.003571,0.029762,2.5549,0.1667,0.6667,1.0,0.3322,0.2144,0.0,0.0625,0.764,0.606,0.85,0.432,0.614,0.826
D_claude_claude_T4_rep04,D,claude_claude,claude,claude,T4,4,2026-02-11T12:18:52.314761,8,1,-0.0253,0.513,-0.1479,-0.015,9.86,-0.00119,0.020238,0.7197,0.6667,0.3333,0.75,0.2476,0.3486,0.0,0.0,0.88,0.725,0.732,0.568,0.612,0.843
D_claude_claude_T4_rep05,D,claude_claude,claude,claude,T4,5,2026-02-11T22:11:38.152611,8,1,0.5798,0.081,-0.4299,-0.6362,1.4799,0.021429,0.02619,0.247,1.0,0.0,0.75,0.303,0.289,0.0,0.0625,0.91,0.919,0.661,0.818,0.751,0.899
D_claude_gpt4o_T4_rep01,D,claude_gpt4o,claude,gpt4o,T4,1,2026-02-11T11:08:40.134466,8,1,0.464,0.14,-0.4095,-0.7448,1.8188,-0.00119,0.020238,1.0446,0.6667,0.5,0.75,0.3397,0.2144,0.0,0.0,0.931,0.836,0.833,0.897,0.902,1.061
D_claude_gpt4o_T4_rep02,D,claude_gpt4o,claude,gpt4o,T4,2,2026-02-12T00:08:24.237151,8,1,-0.2842,0.718,0.8824,-0.2315,-0.2624,0.004762,0.008333,3.341,0.3333,0.6667,0.75,0.2101,0.179,0.0,0.0,0.913,0.96,0.836,0.91,0.923,0.95
D_claude_gpt4o_T4_rep03,D,claude_gpt4o,claude,gpt4o,T4,3,2026-02-11T22:59:02.493960,8,1,-0.1579,0.624,-0.202,0.6512,-0.3102,-0.007143,0.014286,1.2094,0.6667,0.8333,0.75,0.2727,0.167,0.0,0.0,0.811,0.736,0.755,0.746,0.944,1.01
D_claude_gpt4o_T4_rep04,D,claude_gpt4o,claude,gpt4o,T4,4,2026-02-11T14:28:59.830441,8,1,-0.0823,0.553,-0.3088,0.0136,-22.7059,0.035714,0.011905,2.8038,0.3333,0.5,0.5,0.2782,0.2935,0.0,0.0,0.901,0.735,0.949,0.988,0.85,0.723
D_claude_gpt4o_T4_rep05,D,claude_gpt4o,claude,gpt4o,T4,5,2026-02-12T01:11:30.945151,8,1,0.0892,0.412,0.1587,-0.4537,-2.8589,0.022619,0.020238,1.3673,0.5,0.5,0.75,0.2732,0.2669,0.0,0.0,0.742,0.775,0.598,0.814,0.856,1.039
D_gpt4o_claude_T4_rep01,D,gpt4o_claude,gpt4o,claude,T4,1,2026-02-11T22:18:04.507387,8,1,-0.2819,0.732,-0.1006,-0.4133,4.1083,0.008333,-0.014286,0.7727,0.5,0.0,0.75,0.3014,0.2868,0.0,0.0,0.893,0.737,0.861,1.007,0.754,0.744
D_gpt4o_claude_T4_rep02,D,gpt4o_claude,gpt4o,claude,T4,2,2026-02-11T21:54:07.190658,8,1,0.4395,0.17,-0.4807,-0.6355,1.322,0.003571,-0.038095,0.5897,0.8333,0.1667,0.75,0.2318,0.3386,0.0,0.0,0.98,0.909,0.826,0.84,0.806,0.749
D_gpt4o_claude_T4_rep03,D,gpt4o_claude,gpt4o,claude,T4,3,2026-02-12T01:29:51.237701,8,1,-0.5707,0.914,0.2162,0.0467,0.216,0.008333,-0.007143,1.7253,0.6667,0.6667,0.75,0.3134,0.307,0.0,0.0,0.549,0.999,1.075,0.927,0.624,0.928
D_gpt4o_claude_T4_rep04,D,gpt4o_claude,gpt4o,claude,T4,4,2026-02-11T21:31:39.056977,8,1,-0.0786,0.57,-0.4253,-0.0198,21.4798,0.005952,-0.021429,0.6406,0.5,0.5,1.0,0.1886,0.2357,0.0,0.125,0.952,0.738,0.923,0.874,0.875,0.612
D_gpt4o_claude_T4_rep05,D,gpt4o_claude,gpt4o,claude,T4,5,2026-02-11T23:28:40.806435,8,1,-0.6163,0.915,0.446,0.3585,0.8038,0.013095,-0.028571,0.9094,0.6667,0.6667,1.0,0.1851,0.2341,0.0,0.0,0.765,0.731,0.981,1.022,0.746,0.753
D_gpt4o_gpt4o_T4_rep01,D,gpt4o_gpt4o,gpt4o,gpt4o,T4,1,2026-02-11T21:43:10.026671,8,1,-0.6642,0.943,0.2968,0.7336,0.4046,0.008333,0.008333,2.6131,0.5,1.0,1.0,0.2411,0.244,0.0,0.0,0.924,0.972,0.899,1.001,0.823,1.029
D_gpt4o_gpt4o_T4_rep02,D,gpt4o_gpt4o,gpt4o,gpt4o,T4,2,2026-02-11T12:58:26.437135,8,1,-0.2029,0.727,-0.6346,0.3953,-1.6054,0.0,0.008333,0.5717,0.6667,0.5,0.5,0.1663,0.2261,0.0,0.0,0.844,0.752,1.026,0.963,0.87,0.715
D_gpt4o_gpt4o_T4_rep03,D,gpt4o_gpt4o,gpt4o,gpt4o,T4,3,2026-02-11T21:11:50.970592,8,1,0.328,0.219,0.1998,-0.2301,-1.1517,0.007143,0.008333,1.8323,0.6667,0.5,1.0,0.1725,0.356,0.0,0.0,0.973,0.859,0.877,0.872,0.85,1.013
D_gpt4o_gpt4o_T4_rep04,D,gpt4o_gpt4o,gpt4o,gpt4o,T4,4,2026-02-11T23:11:00.740586,8,1,-0.915,0.986,0.8909,0.4749,0.5331,0.016667,0.008333,1.8663,0.6667,0.5,1.0,0.1537,0.2646,0.0,0.0,0.85,0.997,0.875,1.037,1.025,1.034
D_gpt4o_gpt4o_T4_rep05,D,gpt4o_gpt4o,gpt4o,gpt4o,T4,5,2026-02-11T10:08:25.975839,8,1,0.3389,0.244,-0.4732,-0.184,2.5717,-0.027381,0.014286,1.1193,0.3333,0.5,1.0,0.1879,0.1918,0.0,0.0,0.988,0.723,0.88,0.754,0.868,1.031
E_claude_claude_T4_rep01,E,claude_claude,claude,claude,T4,1,2026-02-12T00:25:16.615258,8,1,0.5259,0.098,-0.6535,0.1957,-3.3393,-0.005952,0.002381,1.0049,0.5,0.5,0.75,0.3106,0.3048,0.0,0.0,0.996,0.969,0.819,0.754,0.815,0.723
E_claude_claude_T4_rep02,E,claude_claude,claude,claude,T4,2,2026-02-11T10:57:13.430319,8,1,0.221,0.318,-0.2497,0.0958,-2.6065,-0.008333,-0.010714,0.661,0.8333,0.5,0.75,0.3086,0.2122,0.0,0.0,0.928,0.794,0.834,0.701,0.762,0.495
E_claude_claude_T4_rep03,E,claude_claude,claude,claude,T4,3,2026-02-11T13:06:40.612639,8,1,0.9252,0.001,0.054,-0.319,-5.9074,0.003571,-0.003571,1.0999,0.3333,0.5,1.0,0.2978,0.2577,0.0,0.0,0.918,0.965,0.829,0.809,0.747,0.774
E_claude_claude_T4_rep04,E,claude_claude,claude,claude,T4,4,2026-02-11T22:41:25.501154,8,1,0.8045,0.0,-0.8073,-0.6522,1.2378,0.00119,-0.005952,0.2714,1.0,0.0,0.75,0.1544,0.2314,0.0,0.0,0.916,0.629,0.666,0.838,0.75,0.467
